1-1 MAT.5.4
5-24 PSA.89.1
5-25 1PE.4.12-13
5-26 JHN.17.22-23
5-27 LEV.19.31
5-28 MAT.5.18
5-29 HEB.10.23
5-30 LUK.6.22
5-31 JHN.16.33
6-1 PSA.100.3
6-2 GAL.6.8
6-3 1CO.1.21
6-4 MAT.6.25
6-5 JHN.3.21
6-6 GAL.3.28
6-7 LUK.9.26
6-8 JOS.1.9
6-9 MAT.6.21
6-10 2TH.3.16
6-11 EPH.4.22-24
6-12 LEV.19.33-34
6-13 1JN.3.17
6-14 EXO.15.2
6-15 1JN.3.18
6-16 HEB.3.12-13
6-17 MAT.5.38-39
6-18 JAS.5.7-8
6-19 1CO.1.28-29
6-20 1TH.4.7
6-21 LUK.6.31
6-22 1PE.2.17
6-23 NUM.6.25
6-24 2CO.9.11
6-25 COL.4.5-6
6-26 EPH.1.7
6-27 JHN.10.11
6-28 DEU.14.2
6-29 1JN.4.12
6-30 NUM.6.24
7-1 1JN.2.15
7-2 1CO.10.24
7-3 1CO.15.58
7-4 PRO.3.11-12
7-5 HEB.9.27-28
7-6 PRO.9.10
7-7 1JN.2.3
7-8 MAT.5.3
7-9 2PE.3.8-9
7-10 PHP.3.7-9
7-11 JHN.12.26
7-12 1TH.5.19-22
7-13 1CO.1.10
7-14 JHN.14.6
7-15 REV.7.9
7-16 1TH.3.13
7-17 REV.15.4
7-18 MAT.19.29
7-19 JAS.1.2-3
7-20 JHN.15.5
7-21 MAT.19.14
7-22 DEU.16.19
7-23 COL.1.17-18
7-24 REV.22.17
7-25 MAT.28.18-20
7-26 HEB.12.28-29
7-27 EPH.4.3
7-28 PHP.4.4-5
7-29 MAT.21.22
7-30 JHN.5.21
7-31 1PE.2.1
8-1 MAT.4.4
8-2 1CO.13.6-7
8-3 JAS.1.22
8-4 REV.5.9
8-5 MAT.25.35
8-6 1PE.1.8-9
8-7 GEN.21.2
8-8 JHN.14.1-3
8-9 COL.3.8
8-10 MAT.5.9
8-11 JHN.4.24
8-12 1PE.2.24
8-13 PHP.2.12-13
8-14 1JN.3.16
8-15 EPH.2.19-20
8-16 1JN.4.19
8-17 HEB.2.1
8-18 LUK.8.20-21
8-19 EPH.6.17
8-20 LUK.6.38
8-21 JHN.10.14-15
8-22 JHN.20.30-31
8-23 1CO.2.12
8-24 HEB.10.24-25
8-25 REV.1.8
8-26 LUK.18.29-30
8-27 1PE.2.9
8-28 JHN.6.68-69
8-29 MAT.6.17-18
8-30 PHP.4.8
8-31 MRK.13.31
9-1 PSA.145.17
9-2 MAT.4.16
9-3 LEV.11.45
9-4 1JN.1.5
9-5 COL.1.13-14
9-6 HEB.13.1-2
9-7 1JN.3.14
9-8 GEN.17.1
9-9 1JN.4.13
9-10 2TI.2.22
9-11 GEN.1.27
9-12 EPH.6.16
9-13 DEU.6.5
9-14 DEU.4.39
9-15 MAT.7.11
9-16 2TI.3.16-17
9-17 EPH.2.10
9-18 DEU.10.21
9-19 GEN.50.19-20
9-20 COL.3.15
9-21 COL.3.17
9-22 2PE.1.20-21
9-23 MAT.6.34
9-24 DEU.7.6
9-25 HEB.13.15-16
9-26 GEN.15.6
9-27 PHP.2.14-15
9-28 COL.3.13-14
9-29 MAT.13.45-46
9-30 LUK.9.62
10-1 MAT.10.29-31
10-2 1CO.1.25
10-3 COL.2.8
10-4 LEV.19.35-36
10-5 1JN.3.2
10-6 ACT.20.24
10-7 JHN.3.17
10-8 MAT.7.7-8
10-9 PSA.145.18
10-10 GAL.5.25
10-11 MAT.18.15
10-12 JHN.3.16
10-13 LUK.3.21-22
10-14 LEV.19.2
10-15 MAT.7.13-14
10-16 LEV.19.12
10-17 DEU.31.8
10-18 2PE.3.18
10-19 REV.21.4
10-20 JAS.1.13-14
10-21 JHN.8.36
10-22 GEN.15.1
10-23 1TI.5.8
10-24 LUK.10.2
10-25 2PE.1.10-11
10-26 1JN.4.10
10-27 EPH.5.8
10-28 1JN.4.11
10-29 MAT.6.19-20
10-30 PHP.2.9-11
10-31 1PE.2.2-3
11-1 MAT.26.41
11-2 MAT.6.27
11-3 LUK.12.34
11-4 LUK.2.14
11-5 MAT.7.21
11-6 MAT.7.3
11-7 LUK.9.24-25
11-8 MAT.6.1
11-9 JHN.14.21
11-10 1PE.3.12
11-11 JHN.3.36
11-12 1JN.4.21
11-13 LUK.5.31-32
11-14 JHN.8.12
11-15 MAT.9.37-38
11-16 DEU.5.6-7
11-17 MAT.6.11-12
11-18 JAS.1.23-24
11-19 ACT.13.38-39
11-20 DEU.18.10-11
11-21 1CO.1.9
11-22 1JN.2.17
11-23 1PE.4.7
11-24 REV.21.6
11-25 1JN.3.1
11-26 LEV.18.4-5
11-27 ROM.5.8
11-28 PSA.8.1
11-29 1PE.2.16
11-30 PSA.121.1-2
12-1 GAL.6.10
12-2 PSA.8.3-4
12-3 1TH.4.16-17
12-4 1CO.13.4-5
12-5 1PE.1.23
12-6 LEV.19.3
12-7 PSA.91.1
12-8 MAT.7.12
12-9 COL.2.9-10
12-10 JHN.14.27
12-11 LUK.11.2-4
12-12 MRK.10.45
12-13 1TH.5.16-18
12-14 1CO.9.24
12-15 MRK.13.5-6
12-16 GAL.1.10
12-17 EPH.6.14-15
12-18 PSA.19.1
12-19 1PE.4.19
12-20 DEU.4.35
12-21 1CO.6.14
12-22 LUK.21.8
12-23 MAT.24.12-13
12-24 PSA.97.12
12-25 MAT.1.21 C
12-26 HEB.4.15
12-27 LUK.11.11-13
12-28 1CO.10.13
12-29 JAS.5.13
12-30 MRK.8.35
12-31 DEU.5.20
2020-4-10 1PE.2.24 F
2020-4-12 JHN.20.19-20 E
2020-12-25 LUK.2.6-7 C
2021-4-2 LUK.24.7 F
2021-4-4 LUK.24.46-47 E
2021-12-25 MAT.1.21 C
2022-4-15 PHP.2.8 F
2022-4-17 MAT.28.8-9 E
2022-12-25 LUK.2.10-11 C
2023-4-7 2CO.5.21 F
2023-4-9 LUK.24.7 E
2023-12-25 MAT.1.23 C
2024-3-29 1PE.3.18 F
2024-3-31 1PE.1.3 E
2024-12-25 LUK.1.30-31 C
2025-4-18 COL.2.13-15 F
2025-4-20 1CO.15.3-4 E
2025-12-25 LUK.2.6-7 C
2026-4-3 1CO.1.18 F
2026-4-5 MAT.28.5-6 E
2026-12-25 LUK.1.30-31 C
2027-3-26 GAL.6.14 F
2027-3-28 LUK.24.7 E
2027-12-25 MAT.1.23 C
2028-4-14 MAT.27.46 F
2028-4-16 JHN.20.19-20 E
2028-12-25 LUK.2.10-11 C
2029-3-30 MRK.15.38-39 F
2029-4-1 LUK.24.46-47 E
2029-12-25 MAT.1.21 C
2030-4-19 1PE.3.18 F
2030-4-21 MAT.28.8-9 E
2030-12-25 MAT.1.23 C
2031-4-11 GAL.6.14 F
2031-4-13 MAT.28.5-6 E
2031-12-25 LUK.2.6-7 C
2032-3-26 1CO.1.18 F
2032-3-28 1PE.1.3 E
2032-12-25 MAT.1.21 C
2033-4-15 MAT.27.46 F
2033-4-17 1CO.15.3-4 E
2033-12-25 LUK.1.30-31 C
2034-4-7 PHP.2.8 F
2034-4-9 1PE.1.3 E
2034-12-25 LUK.2.10-11 C
2035-3-23 LUK.24.7 F
2035-3-25 JHN.20.19-20 E
2035-12-25 MAT.1.23 C
2036-4-11 2CO.5.21 F
2036-4-13 1CO.15.3-4 E
2036-12-25 LUK.2.6-7 C
2037-4-3 1PE.2.24 F
2037-4-5 MAT.28.8-9 E
2037-12-25 LUK.1.30-31 C
2038-4-23 MRK.15.38-39 F
2038-4-25 LUK.24.46-47 E
2038-12-25 LUK.2.10-11 C
2039-4-8 COL.2.13-15 F
2039-4-10 MAT.28.5-6 E
2039-12-25 MAT.1.21 C
2040-3-30 1PE.2.24 F
2040-4-1 LUK.24.7 E
2040-12-25 LUK.1.30-31 C
